order date (DateOrders),shipping date (DateOrders),Days for shipping (real),Days for shipment (scheduled),Shipping Mode,Market,Order Region,Category Name,Customer Segment,Order Status,Late_delivery_risk,Order Profit Per Order,Sales,Benefit per order,Order Item Quantity,delay_days,is_late
1/31/2018 22:56,2/3/2018 22:56,3,4,Standard Class,Pacific Asia,Southeast Asia,Sporting Goods,Consumer,COMPLETE,0,91.25,327.75,91.25,1.0,-1,0
1/13/2018 12:27,1/18/2018 12:27,5,4,Standard Class,Pacific Asia,South Asia,Sporting Goods,Consumer,PENDING,1,-249.0899963,327.75,-249.0899963,1.0,1,1
1/13/2018 12:06,1/17/2018 12:06,4,4,Standard Class,Pacific Asia,South Asia,Sporting Goods,Consumer,CLOSED,0,-247.7799988,327.75,-247.7799988,1.0,0,0
1/13/2018 11:45,1/16/2018 11:45,3,4,Standard Class,Pacific Asia,Oceania,Sporting Goods,Home Office,COMPLETE,0,22.86000061,327.75,22.86000061,1.0,-1,0
1/13/2018 11:24,1/15/2018 11:24,2,4,Standard Class,Pacific Asia,Oceania,Sporting Goods,Corporate,PENDING_PAYMENT,0,134.2100067,327.75,134.2100067,1.0,-2,0
1/13/2018 11:03,1/19/2018 11:03,6,4,Standard Class,Pacific Asia,Oceania,Sporting Goods,Consumer,CANCELED,0,18.57999992,327.75,18.57999992,1.0,2,0
1/13/2018 10:42,1/15/2018 10:42,2,1,First Class,Pacific Asia,Eastern Asia,Sporting Goods,Home Office,COMPLETE,1,95.18000031,327.75,95.18000031,1.0,1,1
1/13/2018 10:21,1/15/2018 10:21,2,1,First Class,Pacific Asia,Eastern Asia,Sporting Goods,Corporate,PROCESSING,1,68.43000031,327.75,68.43000031,1.0,1,1
1/13/2018 10:00,1/16/2018 10:00,3,2,Second Class,Pacific Asia,Eastern Asia,Sporting Goods,Corporate,CLOSED,1,133.7200012,327.75,133.7200012,1.0,1,1
1/13/2018 9:39,1/15/2018 9:39,2,1,First Class,Pacific Asia,Eastern Asia,Sporting Goods,Corporate,CLOSED,1,132.1499939,327.75,132.1499939,1.0,1,1
1/13/2018 9:18,1/19/2018 9:18,6,2,Second Class,Pacific Asia,Eastern Asia,Sporting Goods,Corporate,SUSPECTED_FRAUD,0,130.5800018,327.75,130.5800018,1.0,4,0
1/13/2018 8:57,1/18/2018 8:57,5,2,Second Class,Pacific Asia,Southeast Asia,Sporting Goods,Consumer,PENDING,1,45.68999863,327.75,45.68999863,1.0,3,1
1/13/2018 8:36,1/17/2018 8:36,4,2,Second Class,Pacific Asia,Southeast Asia,Sporting Goods,Corporate,PENDING,1,21.76000023,327.75,21.76000023,1.0,2,1
1/13/2018 8:15,1/15/2018 8:15,2,1,First Class,Pacific Asia,South Asia,Sporting Goods,Corporate,COMPLETE,1,24.57999992,327.75,24.57999992,1.0,1,1
1/13/2018 7:54,1/15/2018 7:54,2,1,First Class,Pacific Asia,South Asia,Sporting Goods,Corporate,PROCESSING,1,16.38999939,327.75,16.38999939,1.0,1,1
1/13/2018 7:33,1/15/2018 7:33,2,1,First Class,Pacific Asia,South Asia,Sporting Goods,Corporate,COMPLETE,1,-259.5799866,327.75,-259.5799866,1.0,1,1
1/13/2018 7:12,1/18/2018 7:12,5,2,Second Class,Pacific Asia,Eastern Asia,Sporting Goods,Corporate,PENDING_PAYMENT,1,-246.3600006,327.75,-246.3600006,1.0,3,1
1/13/2018 6:51,1/15/2018 6:51,2,1,First Class,Pacific Asia,South Asia,Sporting Goods,Corporate,CLOSED,1,23.84000015,327.75,23.84000015,1.0,1,1
1/13/2018 6:30,1/15/2018 6:30,2,1,First Class,Pacific Asia,South Asia,Sporting Goods,Consumer,COMPLETE,1,102.2600021,327.75,102.2600021,1.0,1,1
1/13/2018 6:09,1/13/2018 18:09,0,0,Same Day,Pacific Asia,South Asia,Sporting Goods,Consumer,PENDING_PAYMENT,0,87.18000031,327.75,87.18000031,1.0,0,0
1/13/2018 5:48,1/13/2018 17:48,0,0,Same Day,Pacific Asia,South Asia,Sporting Goods,Corporate,PROCESSING,0,154.8600006,327.75,154.8600006,1.0,0,0
1/13/2018 5:27,1/18/2018 5:27,5,4,Standard Class,Pacific Asia,South Asia,Sporting Goods,Corporate,PENDING,1,82.30000305,327.75,82.30000305,1.0,1,1
1/13/2018 5:06,1/17/2018 5:06,4,2,Second Class,Pacific Asia,Oceania,Sporting Goods,Corporate,PENDING,1,22.37000084,327.75,22.37000084,1.0,2,1
1/13/2018 4:45,1/16/2018 4:45,3,2,Second Class,Pacific Asia,Oceania,Sporting Goods,Corporate,CANCELED,0,17.70000076,327.75,17.70000076,1.0,1,0
1/13/2018 4:24,1/15/2018 4:24,2,2,Second Class,Pacific Asia,Oceania,Sporting Goods,Corporate,SUSPECTED_FRAUD,0,90.27999878,327.75,90.27999878,1.0,0,0
1/13/2018 4:03,1/19/2018 4:03,6,2,Second Class,Pacific Asia,Oceania,Sporting Goods,Corporate,COMPLETE,1,131.1699982,327.75,131.1699982,1.0,4,1
1/13/2018 3:42,1/18/2018 3:42,5,2,Second Class,Pacific Asia,Oceania,Sporting Goods,Consumer,PENDING,1,90.54000092,327.75,90.54000092,1.0,3,1
1/13/2018 3:21,1/17/2018 3:21,4,4,Standard Class,Pacific Asia,Eastern Asia,Sporting Goods,Corporate,PENDING_PAYMENT,0,82.58999634,327.75,82.58999634,1.0,0,0
1/13/2018 3:00,1/16/2018 3:00,3,4,Standard Class,Pacific Asia,Eastern Asia,Sporting Goods,Corporate,COMPLETE,0,-17.13999939,327.75,-17.13999939,1.0,-1,0
1/13/2018 2:39,1/15/2018 2:39,2,4,Standard Class,Pacific Asia,Eastern Asia,Sporting Goods,Consumer,PROCESSING,0,23.64999962,327.75,23.64999962,1.0,-2,0
1/13/2018 2:18,1/19/2018 2:18,6,4,Standard Class,Pacific Asia,Eastern Asia,Sporting Goods,Consumer,ON_HOLD,1,73.41999817,327.75,73.41999817,1.0,2,1
